date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2022-01-15 12:57:32.384759,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 12:57:32.447782,66,104.199.65.124,4070,1.0,0,1,0,,1,ack
2022-01-15 12:57:35.932216,100,52.95.121.5,443,0.0,0,1,0,23.0,1,syn
2022-01-15 12:57:45.765922,66,104.199.65.124,4070,1.0,13318,1,0,,1,ack
2022-01-15 12:57:51.248863,351,52.95.121.5,443,0.0,15316,1,0,23.0,1,not_justified
2022-01-15 12:57:51.344725,54,52.95.121.5,443,1.0,95,1,0,,1,ack
2022-01-15 12:58:03.221002,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 12:58:03.289228,66,104.199.65.124,4070,1.0,17523,1,0,,1,ack
2022-01-15 12:58:05.990513,54,52.95.121.5,443,1.0,14645,1,0,,1,ack
2022-01-15 12:58:05.990513,100,52.95.121.5,443,0.0,0,1,0,23.0,1,syn
2022-01-15 12:58:09.541451,99,54.157.96.164,443,0.0,0,1,0,23.0,1,syn
2022-01-15 12:58:09.668633,66,54.157.96.164,443,1.0,127,1,0,,1,ack
2022-01-15 12:58:33.988339,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 12:58:34.050101,66,104.199.65.124,4070,1.0,30760,1,0,,1,ack
2022-01-15 12:58:35.939312,100,52.95.121.5,443,0.0,29948,1,0,23.0,1,syn
2022-01-15 12:59:04.849806,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 12:59:04.911929,66,104.199.65.124,4070,1.0,30861,1,0,,1,ack
2022-01-15 12:59:05.998971,100,52.95.121.5,443,0.0,30059,1,0,23.0,1,syn
2022-01-15 12:59:35.593618,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 12:59:35.654575,66,104.199.65.124,4070,1.0,30742,1,0,,1,ack
2022-01-15 12:59:35.934239,100,52.95.121.5,443,0.0,29935,1,0,23.0,1,syn
2022-01-15 12:59:40.597740,99,54.157.96.164,443,0.0,90929,1,0,23.0,1,syn
2022-01-15 12:59:40.724965,66,54.157.96.164,443,1.0,127,1,0,,1,ack
2022-01-15 12:59:45.731571,66,104.199.65.124,4070,1.0,10076,1,0,,1,ack
2022-01-15 13:00:06.034088,100,52.95.121.5,443,0.0,30099,1,0,23.0,1,syn
2022-01-15 13:00:06.382944,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 13:00:06.448890,66,104.199.65.124,4070,1.0,20717,1,0,,1,ack
2022-01-15 13:00:06.831955,74,3.227.83.236,443,1.0,0,0,0,,1,retransmit
2022-01-15 13:00:06.980776,66,3.227.83.236,443,1.0,148,1,0,,1,ack
2022-01-15 13:00:06.980776,498,3.227.83.236,443,0.0,0,1,0,22.0,1,handshake
2022-01-15 13:00:07.108807,66,3.227.83.236,443,1.0,128,1,0,,1,ack
2022-01-15 13:00:07.108807,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.109724,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.109889,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.110041,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.111679,66,3.227.83.236,443,1.0,1,1,0,,1,ack
2022-01-15 13:00:07.112400,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.171643,141,3.227.83.236,443,0.0,59,1,0,22.0,1,handshake
2022-01-15 13:00:07.171643,72,3.227.83.236,443,0.0,0,1,0,20.0,1,handshake
2022-01-15 13:00:07.171643,111,3.227.83.236,443,0.0,0,1,0,22.0,1,handshake
2022-01-15 13:00:07.299840,66,3.227.83.236,443,1.0,128,1,0,,1,ack
2022-01-15 13:00:07.299840,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.299840,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.301748,364,3.227.83.236,443,0.0,1,1,0,23.0,1,not_justified
2022-01-15 13:00:07.301748,1226,3.227.83.236,443,0.0,0,1,0,23.0,1,not_justified
2022-01-15 13:00:07.428437,66,3.227.83.236,443,1.0,126,1,0,,1,ack
2022-01-15 13:00:07.428688,66,3.227.83.236,443,1.0,0,1,0,,1,ack
2022-01-15 13:00:07.552402,66,3.227.83.236,443,1.0,123,1,0,,1,ack
2022-01-15 13:00:25.369668,74,192.168.1.130,55443,1.0,0,0,0,,1,retransmit
2022-01-15 13:00:26.286105,74,192.168.1.130,55443,1.0,916,0,0,,1,retransmit
2022-01-15 13:00:28.290758,74,192.168.1.130,55443,1.0,2004,0,0,,1,retransmit
2022-01-15 13:00:32.306712,74,192.168.1.130,55443,1.0,4015,0,0,,1,retransmit
2022-01-15 13:00:36.025661,100,52.95.121.5,443,0.0,29991,1,0,23.0,1,syn
2022-01-15 13:00:37.092658,77,104.199.65.124,4070,2.0,0,1,0,,1,syn
2022-01-15 13:00:37.153918,66,104.199.65.124,4070,1.0,30705,1,0,,1,ack
2022-01-15 13:00:45.300581,74,192.168.1.130,55443,1.0,0,0,0,,1,retransmit
