date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2022-01-21 10:44:53.280068,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.280068,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.280068,498,44.198.224.47,443,0.0,0,1,0,22,1,handshake
2022-01-21 10:44:53.476159,66,44.198.224.47,443,1.0,196,1,0,,1,ack
2022-01-21 10:44:53.476159,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.476865,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.476865,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.476865,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.476865,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.476865,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.519981,141,44.198.224.47,443,0.0,43,1,0,22,1,handshake
2022-01-21 10:44:53.521905,72,44.198.224.47,443,0.0,1,1,0,20,1,handshake
2022-01-21 10:44:53.521905,111,44.198.224.47,443,0.0,0,1,0,22,1,handshake
2022-01-21 10:44:53.689647,66,44.198.224.47,443,1.0,167,1,0,,1,ack
2022-01-21 10:44:53.689647,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:53.689647,365,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.690497,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.690767,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.691157,1396,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.691625,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.692443,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.692744,1396,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.693217,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.693651,1475,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.694043,1396,44.198.224.47,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:53.886121,1067,44.198.224.47,443,0.0,192,1,0,23,1,expected
2022-01-21 10:44:54.091164,66,44.198.224.47,443,1.0,205,1,0,,1,ack
2022-01-21 10:44:54.091412,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.115581,74,44.198.224.47,443,1.0,0,0,0,,1,retransmit
2022-01-21 10:44:54.296145,66,44.198.224.47,443,1.0,204,1,0,,1,ack
2022-01-21 10:44:54.296145,66,44.198.224.47,443,1.0,180,1,0,,1,ack
2022-01-21 10:44:54.298748,498,44.198.224.47,443,0.0,2,1,0,22,1,handshake
2022-01-21 10:44:54.422247,355,99.86.154.44,443,0.0,0,1,0,23,1,expected
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,204,1,0,,1,ack
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.502831,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.503153,66,44.198.224.47,443,1.0,0,1,0,,1,ack
2022-01-21 10:44:54.503153,66,99.86.154.44,443,1.0,80,1,0,,1,ack
