date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2022-01-18 16:18:00.563038,74,192.168.1.130,55443,1.0,0,0,1,,1,retransmit
2022-01-18 16:18:01.558523,74,192.168.1.130,55443,1.0,995,0,1,,1,retransmit
2022-01-18 16:18:02.689533,100,67.220.226.14,443,0.0,0,1,1,23.0,1,syn
2022-01-18 16:18:03.562705,74,192.168.1.130,55443,1.0,2004,0,1,,1,retransmit
2022-01-18 16:18:07.570495,74,192.168.1.130,55443,1.0,4007,0,1,,1,retransmit
2022-01-18 16:18:10.547282,74,192.168.1.130,55443,1.0,0,0,1,,1,retransmit
2022-01-18 16:18:10.586526,74,192.168.1.130,55443,1.0,0,0,1,,1,retransmit
2022-01-18 16:18:11.553418,74,192.168.1.130,55443,1.0,1006,0,1,,1,retransmit
2022-01-18 16:18:11.560123,74,192.168.1.130,55443,1.0,973,0,1,,1,retransmit
2022-01-18 16:18:13.550706,74,192.168.1.130,55443,1.0,1997,0,1,,1,retransmit
2022-01-18 16:18:13.566887,74,192.168.1.130,55443,1.0,2006,0,1,,1,retransmit
2022-01-18 16:18:17.554889,74,192.168.1.130,55443,1.0,4004,0,1,,1,retransmit
2022-01-18 16:18:17.570677,74,192.168.1.130,55443,1.0,4003,0,1,,1,retransmit
2022-01-18 16:18:28.183614,74,52.94.224.149,443,1.0,0,0,1,,1,retransmit
2022-01-18 16:18:28.365411,54,52.94.224.149,443,1.0,181,1,1,,1,ack
2022-01-18 16:18:28.365411,473,52.94.224.149,443,0.0,0,1,1,22.0,1,handshake
2022-01-18 16:18:28.487879,54,52.94.224.149,443,1.0,122,1,1,,1,ack
2022-01-18 16:18:28.488771,54,52.94.224.149,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:28.488771,54,52.94.224.149,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:28.489222,54,52.94.224.149,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:28.667487,129,52.94.224.149,443,0.0,178,1,1,22.0,1,handshake
2022-01-18 16:18:28.667487,60,52.94.224.149,443,0.0,0,1,1,20.0,1,handshake
2022-01-18 16:18:28.667487,99,52.94.224.149,443,0.0,0,1,1,22.0,1,handshake
2022-01-18 16:18:28.784020,54,52.94.224.149,443,1.0,116,1,1,,1,ack
2022-01-18 16:18:28.784020,546,52.94.224.149,443,0.0,0,1,1,23.0,1,justified
2022-01-18 16:18:28.784312,1062,52.94.224.149,443,0.0,0,1,1,23.0,1,justified
2022-01-18 16:18:29.266510,54,52.94.224.149,443,1.0,482,1,1,,1,ack
2022-01-18 16:18:29.266510,54,52.94.224.149,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:32.383744,54,67.220.226.14,443,1.0,29694,1,1,,1,ack
2022-01-18 16:18:32.496049,299,67.220.226.14,443,0.0,112,1,1,23.0,1,justified
2022-01-18 16:18:32.496881,812,67.220.226.14,443,0.0,0,1,1,23.0,1,justified
2022-01-18 16:18:32.644005,54,67.220.226.14,443,1.0,147,1,1,,1,ack
2022-01-18 16:18:32.644005,54,67.220.226.14,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:32.689360,54,67.220.226.14,443,1.0,45,1,1,,1,ack
2022-01-18 16:18:32.689360,100,67.220.226.14,443,0.0,0,1,1,23.0,1,syn
2022-01-18 16:18:33.558330,66,52.86.134.12,443,1.0,0,1,1,,1,ack
2022-01-18 16:18:33.594658,66,52.86.134.12,443,1.0,36,1,1,,1,ack
2022-01-18 16:19:02.746263,100,67.220.226.14,443,0.0,30056,1,1,23.0,1,syn
